CrossName,BrCrCode,Synonym,sexTestRes,Program,Subprogram,Concept,Funding,Contract,Breeder,Planted,nonPsa,PsaDeaths,Remaining,Percent_Remaining
K14.0296,rJW_758,,Negative,Gold,4x Yellow,,,PT1601,Paul Datson,2,0,2,0,0
K14.0296,rJW_758,,Unknown,Gold,4x Yellow,,,PT1601,Paul Datson,1,1,0,0,0
K14.0296,rJW_758,,,Gold,4x Yellow,,,,Paul Datson,13,0,6,7,53.85
K13.0551,rJZ_227,,Male,Gold,4x Yellow,,,,Alan Seal,11,0,1,10,90.91
K13.0551,rJZ_227,,Negative,Gold,4x Yellow,,,,Alan Seal,2,0,0,2,100
K13.0553,rJZ_381,,Male,Gold,4x Yellow,,,,Alan Seal,14,0,6,8,57.14
K13.0548,rJZ_457,,,Gold,4x Yellow,,,,Alan Seal,10,0,1,9,90
K13.0549,rJZ_605,,Male,Gold,4x Yellow,,,,Alan Seal,20,0,1,19,95
K14.0297,rLZ_710,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,11,0,4,7,63.64
K14.0297,rLZ_710,,,Gold,4x Yellow,,,,Paul Datson,20,0,4,16,80
K14.0295,rMY_710,,,Gold,4x Yellow,,,,Paul Datson,35,3,18,14,40
K14.0293,rMY_757,,,Gold,4x Yellow,,,,Paul Datson,32,2,12,18,56.25
K14.0294,rMY_758,,,Gold,4x Yellow,,,,Paul Datson,27,1,16,10,37.04
K14.0465,rPK_393,,Female,Gold,4x Yellow,,,NC1601,Russell Lowe,17,1,5,11,64.71
K14.0465,rPK_393,,Male,Gold,4x Yellow,,,NC1601,Russell Lowe,160,7,45,108,67.5
K14.0465,rPK_393,,Negative,Gold,4x Yellow,,,NC1601,Russell Lowe,1,0,1,0,0
K14.0465,rPK_393,,,Gold,4x Yellow,,,,Russell Lowe,1,0,0,1,100
T01/RL/b13/F04,T01/RL/b13/F04,Yellow 3; T02.13-15-14g; G3; ZesY002; Y3,,Gold,4x Yellow,,,,Russell Lowe,10,0,0,10,100
T02/HM/b52/B12,T02/HM/b52/B12,Green 11,,Green,Control(toDEL),,,NC1301,Hinga Marsh,2,0,0,2,100
K13.0653,RM_111,,,Green,Green,,,,Elizabeth Popowski,1,0,0,1,100
K14.0454,rPJ_232,,,Hybrid,Novel,,,,Russell Lowe,1,0,0,1,100
K14.0456,rPJ_235/1,,,Hybrid,Novel,,,,Russell Lowe,4,0,0,4,100
K14.0457,rPJ_235/2,,,Hybrid,Novel,,,,Russell Lowe,38,1,0,37,97.37
K14.0458,rPJ_235/3,,,Hybrid,Novel,,,,Russell Lowe,30,1,2,27,90
K14.0464,rPK_273,,,Hybrid,Novel,,,,Russell Lowe,99,6,17,76,76.77
K14.0509,ZI_1001,,Female,Hybrid,Novel,,,NC1601,Luis Gea,156,12,6,138,88.46
K14.0509,ZI_1001,,Male,Hybrid,Novel,,,NC1601,Luis Gea,27,2,0,25,92.59
K14.0509,ZI_1001,,Unknown,Hybrid,Novel,,,NC1601,Luis Gea,2,0,0,2,100
K14.0509,ZI_1001,,,Hybrid,Novel,,,,Luis Gea,24,2,1,21,87.5
K14.0507,ZI_304/1,,Female,Hybrid,Novel,,,NC1601,Luis Gea,34,3,0,31,91.18
